6в,Асташев Алон Рейнхардович
I
Коганова Вера Азарьевна,Ж,2012.01.07,+7(055)543-57-84,+7(563)374-76-90
Эсперова Синклитикия Квинтовна,Ж,2011.06.14,+7(349)599-80-41,+7(785)340-75-80
Ельшин Варнава Евграфович,М,2011.06.28,+7(718)438-31-93,+7(037)848-11-91
Анкудинов Созон Адрианович,М,2011.09.26,+7(880)636-96-54,+7(144)695-66-88
Юхин Фердинанд Оливерович,М,2011.03.30,+7(139)408-05-64,+7(864)377-06-48
Батянин Альваро Аквильевич,М,2011.01.14,+7(455)103-76-08,+7(543)956-51-93
Каверзнева Далия Иракльевна,Ж,2011.06.10,+7(051)536-83-14,+7(654)946-03-15
Амбалов Евсей Спиридонович,М,2011.03.28,+7(187)889-16-77,+7(081)409-93-63
Яхновская Ариадна Матеовна,Ж,2011.06.07,+7(397)391-53-33,+7(476)103-53-66
Косоруков Джон Алишерович,М,2011.06.08,+7(591)370-58-73,+7(040)317-44-96
Чебыкин Тавус Месропович,М,2012.01.20,+7(045)146-97-86,+7(416)593-89-13
II
Федичкина Роза Фомовна,Ж,2011.03.13,+7(504)990-13-74,+7(818)941-98-36
Зубкова Плакида Наильевна,Ж,2011.06.19,+7(513)197-48-87,+7(094)796-80-57
Лапкин Вахтанг Салаватович,М,2011.11.19,+7(103)886-58-73,+7(836)150-76-88
Шапорина Мариэтта Мамбетовна,Ж,2011.01.26,+7(969)478-88-55,+7(831)960-34-06
Зорича Евникия Агиевна,Ж,2011.10.19,+7(966)738-99-36,+7(664)038-49-85
Самодова Германа Хансовна,Ж,2011.10.29,+7(406)007-37-03,+7(464)315-55-35
Бронских Консуэлла Нафанаиловна,Ж,2011.07.25,+7(869)456-60-78,+7(030)007-06-01
Лебедин Венансио Потапович,М,2011.08.17,+7(187)408-01-14,+7(976)741-55-96
Бабиков Патрик Ионафанович,М,2011.07.20,+7(870)305-89-85,+7(758)506-51-09
Левчук Радмир Йюргенович,М,2011.10.26,+7(970)613-01-86,+7(557)157-51-39
Антонович Гильем Агафангелович,М,2011.10.24,+7(507)087-65-10,+7(687)350-69-71
Желтоухова Келестина Одинецовна,Ж,2011.09.14,+7(163)694-51-16,+7(890)134-77-91
Алашеева Алевтина Фердинандовна,Ж,2011.12.29,+7(959)300-54-55,+7(045)563-81-01
